,0
id,1323493880940032005
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323493912489635840
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323493949756100608
text,RT @Maqhawe_Ngubane: We translate things!👇🏿👇🏿👇🏿 https://t.co/ETruc0mLLv
report,noReport
id,1323493951568023558
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494009474486277
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494069415288833
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494091162742784
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494183710109696
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494203314348033
text,"RT @Maqhawe_Ngubane: Our most recent work includes translating;

√. Medical notices/ads (Breast cancer awareness campaign)
√. Examination p…"
report,noReport
id,1323494212147408896
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494223820300289
text,RT @sweetpeafoodie: @ChaseArmy1
report,noReport
id,1323494258586710016
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494264613990400
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494266690297856
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494459883991041
text,"RT @nadidoesart: Twitter please do your thing. 

tw// breast cancer

Hello. I’m appealing to anyone who can retweet this and hear my story.…"
report,noReport
id,1323494492406718466
